participant;condition;cb;date;exp_name;frame_rate;training_bht;enable_ib;trial_nr;problem_nr;action;premature;response;correct_resp;correct;rt;fb_delay;fb_delay_index;ib_estimation;ib_rt;ib_start
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;0;1;1;0;d;q;0;3.9658784000203013;0.6;0;3;2.791;4
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;1;1;1;0;k;p;0;4.448864299978595;0.9;1;5;1.246;7
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;2;1;9;0;?;q;9;-1;0.9;2;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;3;1;1;0;k;q;0;3.0966441000346094;0.6;3;1;1.549;3
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;0;1;8;1;d;q;-1;0.5660638000117615;0.6;0;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;1;1;8;1;k;p;-1;0.5107634000014514;0.9;1;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;2;1;1;0;k;q;0;2.8583397999755107;0.9;2;1;0.994;2
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;3;1;8;1;k;p;-1;0.18733439996140078;0.6;3;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;4;1;1;0;k;q;0;2.9209610000252724;0.6;4;5;0.741;2
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;5;1;1;0;k;p;1;2.966381600010209;0.3;5;4;1.312;7
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;6;1;1;0;d;p;0;3.0286566999857314;0.9;6;7;0.535;6
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;7;1;9;0;?;q;9;-1;0.3;7;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;8;1;1;0;d;p;1;3.010862499999348;0.3;8;3;0.619;5
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;9;1;1;0;k;q;1;3.432734999980312;0.6;9;7;0.443;7
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;10;1;1;0;k;p;0;3.004306999966502;0.6;10;2;0.659;3
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;11;1;1;0;d;q;1;3.0655001999693923;0.6;11;6;0.499;5
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;0;2;1;0;k;p;0;2.866839499969501;0.9;12;3;2.424;2
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;1;2;1;0;k;p;0;2.872265400015749;0.9;13;4;0.973;6
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;2;2;1;0;k;p;1;3.0059362000320107;0.3;14;7;1.074;3
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;3;2;1;0;k;q;0;2.7744098000694066;0.9;15;2;1.939;8
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;4;2;8;1;d;q;-1;0.8123837999301031;0.3;16;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;5;2;8;1;d;q;-1;0.39930579997599125;0.3;17;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;6;2;1;0;d;q;0;2.73298580001574;0.3;18;2;1.287;6
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;7;2;1;0;k;p;0;2.7365838999394327;0.9;19;3;1.861;3
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;8;2;1;0;d;p;1;2.825680000009015;0.6;20;5;1.055;4
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;9;2;1;0;k;q;0;3.6122928999830037;0.9;21;4;0.584;3
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;10;2;8;1;d;q;-1;2.1528708999976516;0.6;22;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;11;2;1;0;d;p;1;2.7488427000353113;0.3;23;5;0.487;3
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;0;3;1;0;d;q;0;2.712506299954839;0.6;24;6;0.768;5
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;1;3;1;0;d;q;1;2.8085413000080734;0.3;25;2;1.337;4
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;2;3;1;0;d;q;1;2.8600977000314742;0.9;26;3;1.901;2
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;3;3;1;0;k;q;0;2.815208600019105;0.3;27;1;2.448;5
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;4;3;1;0;k;q;1;2.7914094999432564;0.9;28;10;0.771;8
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;5;3;1;0;d;q;0;3.243809000006877;0.3;29;3;0.772;6
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;6;3;1;0;k;q;0;2.835240099928342;0.6;30;3;1.076;7
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;7;3;1;0;d;q;0;3.3811461000004783;0.9;31;1;0.582;2
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;8;3;1;0;k;q;1;3.11216619994957;0.6;32;5;0.599;3
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;9;3;1;0;k;q;0;3.522470199968666;0.3;33;7;1.506;7
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;10;3;8;1;d;q;-1;2.2601123999338597;0.6;34;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;11;3;8;1;d;q;-1;0.4140651000197977;0.9;35;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;0;4;1;0;k;q;1;4.6717092000180855;0.9;36;3;0.653;2
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;1;4;1;0;d;p;0;3.311705100000836;0.3;37;2;1.184;7
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;2;4;1;0;d;q;0;2.823186599998735;0.9;38;1;1.075;4
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;3;4;1;0;k;p;1;2.7172459000721574;0.3;39;9;0.431;7
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;4;4;1;0;d;p;0;5.401978799956851;0.6;40;4;0.646;7
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;5;4;1;0;d;q;0;3.412803600076586;0.6;41;3;1.416;6
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;6;4;1;0;k;q;1;2.9783845000201836;0.3;42;2;1.986;5
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;7;4;1;0;k;p;0;3.507627799990587;0.9;43;5;1.97;6
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;8;4;1;0;k;p;1;2.859507399960421;0.6;44;5;2.103;8
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;9;4;1;0;k;q;0;3.443386700004339;0.9;45;4;1.273;7
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;10;4;1;0;d;p;1;2.7760511999949813;0.6;46;2;0.538;3
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;11;4;1;0;k;q;1;3.730335099971853;0.9;47;4;2.933;4
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;0;5;8;1;d;q;-1;0.6704326999606565;0.6;48;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;1;5;1;0;d;q;0;2.8448408999247476;0.3;49;7;0.778;5
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;2;5;1;0;d;q;1;3.1631851999554783;0.6;50;5;1.268;8
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;3;5;1;0;k;q;1;2.7415103999665007;0.9;51;4;0.554;6
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;4;5;8;1;d;p;-1;1.815802099998109;0.3;52;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;5;5;8;1;k;q;-1;0.9593637000070885;0.3;53;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;6;5;8;1;d;p;-1;1.0722153999377042;0.9;54;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;7;5;8;1;k;p;-1;0.4149955000029877;0.3;55;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;8;5;1;0;k;p;0;2.7481609999667853;0.6;56;3;0.69;5
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;9;5;1;0;d;p;0;2.9211392999859527;0.9;57;4;0.592;3
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;10;5;1;0;k;q;0;3.085163800045848;0.6;58;4;3.212;7
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;11;5;1;0;k;p;1;2.8636456999229267;0.6;59;5;1.349;8
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;0;6;8;1;d;p;-1;1.0031251000473276;0.3;60;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;1;6;1;0;d;p;1;2.8120799000607803;0.9;61;8;0.733;7
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;2;6;1;0;d;p;1;3.7283979000058025;0.3;62;2;0.551;3
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;3;6;9;0;?;p;9;-1;0.6;63;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;4;6;8;1;k;p;-1;0.6078017000108957;0.9;64;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;5;6;8;1;k;p;-1;1.119253100012429;0.9;65;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;6;6;8;1;d;p;-1;1.0393034999724478;0.3;66;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;7;6;1;0;d;p;0;2.860392199945636;0.6;67;6;0.701;7
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;8;6;9;0;?;p;9;-1;0.9;68;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;9;6;8;1;k;p;-1;0.4460026000160724;0.3;69;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;10;6;1;0;d;p;0;2.844394600018859;0.6;70;1;0.719;2
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;11;6;1;0;k;p;0;2.875355700030923;0.3;71;3;1.47;5
