participant;condition;cb;date;exp_name;frame_rate;training_vts;enable_ib;trial_nr;block_nr;stim;action;premature;response;correct_resp;correct;task_sel;rt;fb_delay;fb_delay_index;ib_estimation;ib_rt;ib_start
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;0;0;1;triangle_right;9;0;?;NA;9;-1;-1;0.6;0;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;0;1;1;triangle_right;9;0;?;NA;9;-1;-1;0.9;1;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;0;2;1;square_right;8;1;d;NA;-1;-1;0.24898680002661422;0.9;2;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;0;3;1;circle_right;8;1;lalt;NA;-1;-1;0.41270129999611527;0.6;3;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;0;4;1;square_right;9;0;?;NA;9;-1;-1;0.6;4;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;0;5;1;triangle_middle;8;1;k;NA;-1;-1;0.40820379997603595;0.3;5;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;0;6;1;square_left;9;0;?;NA;9;-1;-1;0.9;6;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;0;7;1;square_middle;9;0;?;NA;9;-1;-1;0.3;7;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;0;8;1;square_right;1;0;lalt;lalt;1;1;2.24445250001736;0.3;8;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;0;2;triangle_right;8;1;lalt;NA;-1;-1;1.2320293000084348;0.6;0;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;1;2;triangle_right;8;1;lalt;NA;-1;-1;0.29180289997020736;0.9;1;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;2;2;square_right;1;0;lalt;lalt;1;1;1.8254998000338674;0.9;2;2;5.817;5
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;3;2;circle_right;1;0;lalt;lalt;1;1;2.098185900016688;0.6;3;8;1.929;5
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;4;2;square_right;8;1;ralt;NA;-1;-1;1.1638154999818653;0.6;4;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;5;2;triangle_middle;8;1;ralt;NA;-1;-1;0.47052370000164956;0.3;5;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;6;2;square_left;1;0;w;w;1;1;1.7524902999866754;0.9;6;6;1.233;8
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;7;2;square_middle;8;1;d;NA;-1;-1;0.9746329000336118;0.3;7;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;8;2;square_right;8;1;lalt;NA;-1;-1;0.3156815000111237;0.3;8;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;0;3;triangle_right;8;1;d;NA;-1;-1;0.282294400036335;0.6;0;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;1;3;triangle_right;8;1;d;NA;-1;-1;0.37867799995001405;0.9;1;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;2;3;square_right;1;0;d;lalt;0;1;1.7622675000457093;0.9;2;3;0.826;2
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;3;3;circle_right;1;0;w;lalt;0;1;1.8124343999661505;0.6;3;8;0.299;8
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;4;3;square_right;1;0;k;k;1;2;1.8165363000007346;0.6;4;2;0.453;3
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;1;1;5;3;triangle_middle;1;0;d;d;1;1;1.887778399977833;0.3;5;6;0.353;6
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;0;1;triangle_right;8;1;k;NA;-1;-1;0.7831597999902442;0.6;0;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;1;1;triangle_right;8;1;ralt;NA;-1;-1;0.3010206000180915;0.9;1;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;2;1;square_right;8;1;lalt;NA;-1;-1;0.31749379995744675;0.9;2;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;3;1;circle_right;1;0;lalt;lalt;1;1;1.876386099960655;0.6;3;5;0.227;5
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;4;1;square_right;1;0;lalt;lalt;1;1;2.132630999898538;0.6;4;8;0.591;7
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;5;1;triangle_middle;1;0;d;d;1;1;1.7228869999526069;0.3;5;3;0.456;2
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;6;1;square_left;1;0;w;w;1;1;1.7138957000570372;0.9;6;6;0.367;5
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;7;1;square_middle;8;1;d;NA;-1;-1;0.659485699958168;0.3;7;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;8;1;square_right;8;1;lalt;NA;-1;-1;0.5116576000582427;0.3;8;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;9;1;circle_middle;8;1;d;NA;-1;-1;0.2804773000534624;0.6;9;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;10;1;triangle_left;8;1;w;NA;-1;-1;0.4928475999040529;0.6;10;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;11;1;circle_right;8;1;lalt;NA;-1;-1;0.4266001000069082;0.6;11;-1;-1;-1
1012;0;1;2023-11-21_17h30.14.289;BHT_VTS;59.988974012455664;0;1;12;1;square_right;8;1;lalt;NA;-1;-1;0.8001501000253484;0.9;12;-1;-1;-1
